batter,venue,dismissals,strike_rate
A Badoni,"Arun Jaitley Stadium, Delhi",1,66.67
A Badoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,144
A Badoni,"Eden Gardens, Kolkata",2,112.5
A Badoni,"M Chinnaswamy Stadium, Bengaluru",2,111.11
A Badoni,"MA Chidambaram Stadium, Chepauk, Chennai",2,96
A Badoni,"Narendra Modi Stadium, Ahmedabad",1,190.91
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,182.61
A Badoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,183.33
A Badoni,"Sawai Mansingh Stadium, Jaipur",2,22.22
A Badoni,"Wankhede Stadium, Mumbai",0,220
A Kamboj,"Eden Gardens, Kolkata",0,100
A Manohar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,60
A Manohar,"Narendra Modi Stadium, Ahmedabad",5,131.46
A Manohar,"Sawai Mansingh Stadium, Jaipur",1,50
A Manohar,"Wankhede Stadium, Mumbai",1,66.67
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,63.33
A Nortje,"Arun Jaitley Stadium, Delhi",2,112.5
A Nortje,"Barsapara Cricket Stadium, Guwahati",1,0
A Nortje,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,66.67
A Nortje,"M Chinnaswamy Stadium, Bengaluru",0,164.29
A Nortje,"Narendra Modi Stadium, Ahmedabad",0,50
A Nortje,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,100
A Raghuvanshi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,123.08
A Raghuvanshi,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,200
A Raghuvanshi,"Eden Gardens, Kolkata",3,142.86
A Raghuvanshi,"MA Chidambaram Stadium, Chepauk, Chennai",1,133.33
A Raghuvanshi,"Wankhede Stadium, Mumbai",1,216.67
A Zampa,"MA Chidambaram Stadium, Chepauk, Chennai",1,100
A Zampa,"Sawai Mansingh Stadium, Jaipur",2,60
AA Kulkarni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,112.5
AD Russell,"Arun Jaitley Stadium, Delhi",1,122.58
AD Russell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,150
AD Russell,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,215.79
AD Russell,"Eden Gardens, Kolkata",10,165.36
AD Russell,"M Chinnaswamy Stadium, Bengaluru",1,50
AD Russell,"MA Chidambaram Stadium, Chepauk, Chennai",1,72.73
AD Russell,"Narendra Modi Stadium, Ahmedabad",1,50
AD Russell,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,188.89
AD Russell,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,160
AD Russell,"Wankhede Stadium, Mumbai",0,215.38
AJ Hosein,"Arun Jaitley Stadium, Delhi",0,160
AJ Turner,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,116.67
AK Markram,"Arun Jaitley Stadium, Delhi",2,56.25
AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0
AK Markram,"Eden Gardens, Kolkata",2,174.36
AK Markram,"M Chinnaswamy Stadium, Bengaluru",0,200
AK Markram,"MA Chidambaram Stadium, Chepauk, Chennai",4,104.84
AK Markram,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,0
AK Markram,"Narendra Modi Stadium, Ahmedabad",2,93.1
AK Markram,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7,127.18
AK Markram,"Sawai Mansingh Stadium, Jaipur",1,120
AK Markram,"Wankhede Stadium, Mumbai",0,185.71
AM Rahane,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,150
AM Rahane,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,150
AM Rahane,"Eden Gardens, Kolkata",0,244.83
AM Rahane,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,128.57
AM Rahane,"M Chinnaswamy Stadium, Bengaluru",2,166.67
AM Rahane,"MA Chidambaram Stadium, Chepauk, Chennai",11,122.93
AM Rahane,"Narendra Modi Stadium, Ahmedabad",3,155.56
AM Rahane,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,116.67
AM Rahane,"Sawai Mansingh Stadium, Jaipur",1,115.38
AM Rahane,"Wankhede Stadium, Mumbai",2,188.57
AR Patel,"Arun Jaitley Stadium, Delhi",7,155.56
