batter,bowler,total_runs,dismissals,strike_rate
A Badoni,AD Russell,12,0,200
A Badoni,AR Patel,8,0,114.29
A Badoni,Arshdeep Singh,2,0,100
A Badoni,Avesh Khan,2,0,100
A Badoni,B Kumar,3,0,100
A Badoni,CV Varun,14,0,175
A Badoni,DG Nalkande,2,0,200
A Badoni,G Coetzee,5,0,100
A Badoni,HH Pandya,1,1,100
A Badoni,Harpreet Brar,2,0,66.67
A Badoni,Harshit Rana,7,0,100
A Badoni,I Sharma,10,0,111.11
A Badoni,JD Unadkat,2,0,50
A Badoni,KK Ahmed,7,0,350
A Badoni,Kuldeep Yadav,8,0,100
A Badoni,MA Starc,0,0,0
A Badoni,MM Sharma,10,0,250
A Badoni,Mukesh Kumar,26,0,173.33
A Badoni,N Burger,0,1,0
A Badoni,N Thushara,4,0,133.33
A Badoni,PJ Cummins,8,0,200
A Badoni,PP Chawla,1,0,100
A Badoni,R Ashwin,9,0,180
A Badoni,R Shepherd,17,0,283.33
A Badoni,RJW Topley,0,0,0
A Badoni,Rashid Khan,3,1,75
A Badoni,SH Johnson,5,0,250
A Badoni,SM Curran,4,1,80
A Badoni,SP Narine,11,2,68.75
A Badoni,Sandeep Sharma,4,0,100
A Badoni,T Natarajan,37,0,217.65
A Badoni,T Stubbs,2,1,66.67
A Badoni,TA Boult,4,0,66.67
A Badoni,V Viyaskanth,5,0,250
A Badoni,Yash Dayal,0,1,0
A Kamboj,Harshit Rana,2,0,100
A Manohar,KK Ahmed,0,0,0
A Manohar,KR Sen,1,1,50
A Manohar,Kuldeep Yadav,2,0,100
A Manohar,Mukesh Kumar,2,0,66.67
A Manohar,T Stubbs,4,1,133.33
A Nortje,AD Russell,0,1,0
A Nortje,SP Narine,1,0,50
A Nortje,T Natarajan,0,1,0
A Nortje,VG Arora,3,0,150
A Raghuvanshi,A Nortje,16,1,228.57
A Raghuvanshi,AR Patel,5,0,166.67
A Raghuvanshi,Avesh Khan,1,0,100
A Raghuvanshi,JJ Bumrah,1,0,50
A Raghuvanshi,KH Pandya,5,0,83.33
A Raghuvanshi,KR Sen,1,1,33.33
A Raghuvanshi,M Theekshana,7,0,233.33
A Raghuvanshi,MP Stoinis,1,0,100
A Raghuvanshi,MR Marsh,4,0,100
A Raghuvanshi,Mohammed Siraj,0,0,0
A Raghuvanshi,Mohsin Khan,6,1,150
A Raghuvanshi,Mustafizur Rahman,10,0,125
A Raghuvanshi,N Thushara,12,1,300
A Raghuvanshi,Naveen-ul-Haq,5,0,166.67
A Raghuvanshi,R Ashwin,3,0,100
A Raghuvanshi,RA Jadeja,0,1,0
A Raghuvanshi,Rasikh Salam,13,0,260
A Raghuvanshi,Ravi Bishnoi,14,0,127.27
A Raghuvanshi,SN Thakur,6,0,150
A Raghuvanshi,Sumit Kumar,16,0,200
A Raghuvanshi,TA Boult,13,0,325
A Raghuvanshi,TU Deshpande,1,0,50
A Raghuvanshi,YS Chahal,12,0,171.43
A Raghuvanshi,Yash Dayal,3,1,150
A Raghuvanshi,Yash Thakur,8,0,133.33
A Raghuvanshi,Yudhvir Singh,0,1,0
AA Kulkarni,MA Starc,4,1,100
AA Kulkarni,N Thushara,0,1,0
AA Kulkarni,VG Arora,5,0,166.67
AD Russell,A Nortje,4,0,200
AD Russell,Arshdeep Singh,10,1,333.33
AD Russell,Avesh Khan,0,1,0
AD Russell,B Kumar,30,0,375
AD Russell,C Green,5,0,166.67
AD Russell,HH Pandya,7,0,350
AD Russell,Harpreet Brar,7,0,175
AD Russell,I Sharma,0,1,0
AD Russell,JJ Bumrah,1,0,100
AD Russell,KH Pandya,7,0,175
AD Russell,KK Ahmed,10,0,125
AD Russell,KR Sen,9,0,225
AD Russell,KV Sharma,1,0,50
AD Russell,LH Ferguson,5,0,100
AD Russell,M Markande,18,0,257.14
AD Russell,MR Marsh,16,0,320
AD Russell,Mohammed Siraj,1,0,100
AD Russell,Mustafizur Rahman,1,0,20
AD Russell,N Thushara,7,0,233.33
AD Russell,Naveen-ul-Haq,4,1,200
AD Russell,PJ Cummins,2,0,50
AD Russell,PP Chawla,16,1,160
AD Russell,R Ashwin,3,0,75
AD Russell,RD Chahar,1,0,50
AD Russell,Rasikh Salam,11,0,366.67
AD Russell,Ravi Bishnoi,1,0,50
AD Russell,SM Curran,6,0,200
AD Russell,T Natarajan,10,0,200
AD Russell,TU Deshpande,5,1,125
AD Russell,YS Chahal,1,0,100
AD Russell,Yash Dayal,15,0,187.5
AJ Turner,AD Russell,1,0,50
AJ Turner,CV Varun,13,1,325
AJ Turner,G Coetzee,0,1,0
AJ Turner,JJ Bumrah,1,0,33.33
AJ Turner,Mohammad Nabi,1,0,100
AJ Turner,N Thushara,3,0,75
AJ Turner,SP Narine,2,0,66.67
AK Markram,AD Russell,5,1,166.67
AK Markram,Arshdeep Singh,0,1,0
AK Markram,CV Varun,1,1,33.33
AK Markram,DL Chahar,12,0,133.33
AK Markram,G Coetzee,8,0,160
AK Markram,HH Pandya,13,0,185.71
AK Markram,Harshit Rana,2,0,66.67
AK Markram,JJ Bumrah,7,0,87.5
AK Markram,KT Maphaka,5,0,250
AK Markram,Kuldeep Yadav,1,1,33.33
AK Markram,LH Ferguson,8,0,266.67
AK Markram,M Pathirana,1,1,50
AK Markram,M Theekshana,21,0,140
AK Markram,MA Starc,5,0,100
AK Markram,MK Lomror,1,0,100
AK Markram,MM Ali,7,1,116.67
AK Markram,MM Sharma,7,0,116.67
AK Markram,Mohammed Siraj,1,0,33.33
AK Markram,Mustafizur Rahman,8,0,133.33
AK Markram,Noor Ahmad,8,0,88.89
AK Markram,PP Chawla,4,0,200
AK Markram,RA Jadeja,20,0,125
AK Markram,RJW Topley,3,0,100
AK Markram,Rashid Khan,2,0,66.67
AK Markram,SN Thakur,6,0,200
AK Markram,SP Narine,9,0,69.23
AK Markram,SZ Mulani,5,0,125
AK Markram,Suyash Sharma,6,0,200
AK Markram,Swapnil Singh,4,1,200
AK Markram,TA Boult,1,1,50
AK Markram,TU Deshpande,7,0,175
AK Markram,UT Yadav,0,1,0
AK Markram,VG Arora,10,0,166.67
AK Markram,Vijaykumar Vyshak,16,0,320
AK Markram,WG Jacks,1,0,100
AK Markram,Yash Dayal,5,0,83.33
AM Rahane,A Nortje,7,0,116.67
AM Rahane,AR Patel,4,0,80
AM Rahane,AS Joseph,1,0,50
AM Rahane,Arshdeep Singh,11,1,157.14
AM Rahane,B Kumar,14,1,100
AM Rahane,C Green,6,1,300
AM Rahane,G Coetzee,0,1,0
AM Rahane,GJ Maxwell,2,0,66.67
AM Rahane,Harpreet Brar,2,1,40
AM Rahane,I Sharma,10,0,142.86
AM Rahane,JD Unadkat,13,1,108.33
AM Rahane,K Rabada,10,0,111.11
AM Rahane,KH Pandya,4,1,100
AM Rahane,KK Ahmed,1,0,50
AM Rahane,KV Sharma,10,0,125
AM Rahane,LH Ferguson,0,1,0
AM Rahane,M Markande,4,0,100
AM Rahane,MJ Henry,13,1,108.33
AM Rahane,MR Marsh,11,0,275
AM Rahane,Mayank Dagar,3,0,75
AM Rahane,Mohammad Nabi,5,0,100
AM Rahane,Mohammed Siraj,4,0,133.33
AM Rahane,Mohsin Khan,6,0,120
AM Rahane,Mukesh Kumar,0,1,0
AM Rahane,Nithish Kumar Reddy,1,0,33.33
AM Rahane,PJ Cummins,11,0,137.5
AM Rahane,R Sai Kishore,7,1,100
AM Rahane,RD Chahar,2,0,66.67
AM Rahane,Rashid Khan,4,0,100
AM Rahane,Rasikh Salam,12,0,300
AM Rahane,Ravi Bishnoi,6,0,150
AM Rahane,S Sandeep Warrier,0,1,0
AM Rahane,SH Johnson,1,0,100
AM Rahane,SM Curran,13,0,185.71
AM Rahane,Swapnil Singh,5,0,100
AM Rahane,T Natarajan,1,0,100
AM Rahane,UT Yadav,1,1,25
AM Rahane,Yash Dayal,29,0,223.08
AM Rahane,Yash Thakur,8,0,400
AR Patel,Akash Madhwal,1,0,50
AR Patel,Arshdeep Singh,6,0,150
AR Patel,Avesh Khan,8,0,100
AR Patel,Azmatullah Omarzai,6,0,75
AR Patel,B Kumar,2,0,66.67
AR Patel,C Green,10,1,100
AR Patel,CV Varun,4,1,40
AR Patel,HV Patel,1,1,100
AR Patel,Harpreet Brar,5,0,166.67
AR Patel,Harshit Rana,0,0,0
AR Patel,JJ Bumrah,9,0,128.57
AR Patel,K Rabada,8,0,200
AR Patel,KV Sharma,15,0,250
AR Patel,LH Ferguson,8,0,114.29
AR Patel,M Pathirana,3,0,100
AR Patel,M Shahrukh Khan,7,0,350
AR Patel,MM Sharma,5,0,125
AR Patel,Mohammed Siraj,10,0,125
AR Patel,Mohsin Khan,5,0,125
AR Patel,Mustafizur Rahman,3,0,75
AR Patel,N Thushara,8,0,266.67
AR Patel,Naveen-ul-Haq,2,0,100
AR Patel,Nithish Kumar Reddy,2,0,100
AR Patel,Noor Ahmad,20,1,250
AR Patel,PJ Cummins,2,0,100
AR Patel,R Ashwin,1,1,50
AR Patel,R Parag,9,0,180
AR Patel,R Shepherd,1,1,100
AR Patel,RD Chahar,1,0,100
AR Patel,Rashid Khan,26,0,152.94
AR Patel,S Sandeep Warrier,2,0,50
AR Patel,SP Narine,3,1,42.86
AR Patel,Sandeep Sharma,8,0,160
AR Patel,T Natarajan,0,1,0
AR Patel,TU Deshpande,1,0,100
AR Patel,VG Arora,8,0,266.67
AR Patel,WG Jacks,14,0,350
AR Patel,YS Chahal,4,0,133.33
AR Patel,Yash Dayal,0,1,0
AR Patel,Yudhvir Singh,7,0,175
AS Roy,Mustafizur Rahman,0,0,0
AS Roy,TU Deshpande,3,0,150
Abdul Samad,AD Russell,14,2,200
Abdul Samad,Arshdeep Singh,5,1,125
Abdul Samad,Avesh Khan,0,1,0
Abdul Samad,CV Varun,4,0,80
Abdul Samad,DG Nalkande,7,0,140
Abdul Samad,HH Pandya,2,0,100
Abdul Samad,HV Patel,21,0,233.33
Abdul Samad,Harpreet Brar,2,0,100
Abdul Samad,Harshit Rana,1,1,33.33
Abdul Samad,KK Ahmed,6,0,200
Abdul Samad,KV Sharma,2,1,66.67
Abdul Samad,LH Ferguson,8,0,266.67
Abdul Samad,M Pathirana,8,0,200
Abdul Samad,MA Starc,2,0,100
Abdul Samad,MM Sharma,9,0,180
Abdul Samad,Mukesh Kumar,7,1,140
Abdul Samad,PP Chawla,1,1,50
Abdul Samad,RA Jadeja,4,0,80
Abdul Samad,RD Chahar,8,0,160
Abdul Samad,RJW Topley,24,0,480
Abdul Samad,Rashid Khan,5,0,250
Abdul Samad,SN Thakur,7,1,77.78
Abdul Samad,SP Narine,13,1,185.71
Abdul Samad,Suyash Sharma,1,0,33.33
Abdul Samad,UT Yadav,8,0,400
Abdul Samad,Vijaykumar Vyshak,8,0,266.67
Abdul Samad,Yash Dayal,5,0,250
Abhishek Sharma,A Badoni,11,0,366.67
Abhishek Sharma,A Kamboj,7,0,175
Abhishek Sharma,AD Russell,4,1,200
Abhishek Sharma,Arshdeep Singh,20,0,181.82
Abhishek Sharma,Avesh Khan,0,1,0
Abhishek Sharma,Azmatullah Omarzai,6,0,150
Abhishek Sharma,CV Varun,17,0,340
Abhishek Sharma,DL Chahar,14,1,155.56
Abhishek Sharma,G Coetzee,12,0,240
Abhishek Sharma,HH Pandya,3,0,100
Abhishek Sharma,HV Patel,20,0,333.33
Abhishek Sharma,Harpreet Brar,13,0,325
Abhishek Sharma,Harshit Rana,5,0,100
