Player,Wkts,Avg,E/R
Shashank Singh,1,5,5
T Stubbs,3,5,7.5
J B Little,4,11.25,11.25
Mayank Yadav,7,12.14,6.99
Anrich Nortje,7,42,13.36
Matheesha Pathirana,13,13,7.68
S Dube,1,14,14
M Siddharth,1,71,7.89
Spencer Johnson,4,37.75,9.4
D G Nalkande,3,15,9.31
Manav Suthar,0,0,13
A D Russell,19,15.53,10.06
J J Bumrah,20,16.8,6.48
V Kaverappa,2,18,9
Akash Deep,1,55,15.7
Rashid Khan,10,36.7,8.4
Varun Chakaravarthy,21,19.14,8.04
K A Maharaj,2,19.5,6.5
R S Kishore,7,19.57,9.13
Khaleel Ahmed,17,28.18,9.58
S Sandeep Warrier,6,19.83,10.82
Ravichandran Ashwin,9,51.89,8.49
H V Patel,24,19.88,9.73
A Mishra,1,20,10
Harshit Rana,19,20.16,9.08
K R Sen,6,20.33,10.17
N Burger,7,20.71,8.53
G J Maxwell,6,21.5,8.06
S P Narine,17,21.65,6.69
Mukesh Kumar,17,21.65,10.37
Shashank Singh,6,22.17,8.87
Shreyas Gopal,3,22.33,9.57
Mustafizur Rahman,14,22.71,9.26
Kuldeep Yadav,16,23.25,8.65
Sandeep Sharma,13,23.92,8.18
P P Chawla,13,24,8.91
Nathan Ellis,1,24,6
Shashank Singh,5,24.2,10.08
T Natarajan,19,24.47,9.06
T U Deshpande,17,24.94,8.83
Vaibhav Arora,11,25.09,9.2
Abhishek Sharma,2,25.5,7.29
S M Curran,16,26,10.15
M A Starc,17,26.12,10.61
G Gerald Coetzee,13,26.23,10.18
U T Yadav,8,26.25,10
Ishant Sharma,10,26.5,9.81
Naveen-ul-Haq,14,26.57,10.19
Arshdeep Singh,19,26.58,10.03
Avesh Khan,19,27.68,9.59
T A Boult,16,27.69,8.31
R D Chahar,10,27.9,9
L S Livingstone,3,28,7
Khaleel Ahmed,17,28.18,9.58
L H Ferguson,9,28.33,10.63
Rasikh Salam,9,29.89,10.98
C Green,10,30.3,8.62
Y S Chahal,18,30.33,9.41
Y Dayal,15,30.6,9.15
Axar Patel,11,30.64,7.66
P J Cummins,18,31.44,9.28
M P Stoinis,4,31.5,9
Noor Ahmad,8,36.25,8.33
M J Santner,2,32,7.11
I D N Thushara,8,32.13,9.88
Mayank Markande,8,32.38,11.77
Ravi Bishnoi,10,38.3,8.77
Mohit Sharma,13,32.69,10.9
Mohammed Siraj,15,33.07,9.19
Dushmantha Chameera,0,0,16
Mukesh Choudhary,0,0,27
Mohsin Khan,10,38.5,10.13
K Kagiso Rabada,11,33.82,8.86
