bowler,venue,wickets,economy
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,0
A Badoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,19
A Badoni,"Sawai Mansingh Stadium, Jaipur",0,6
A Kamboj,"Eden Gardens, Kolkata",1,7.67
A Kamboj,"Wankhede Stadium, Mumbai",1,11.43
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,6.73
A Mishra,"M Chinnaswamy Stadium, Bengaluru",1,9
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,11.5
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.75
A Mishra,"Sawai Mansingh Stadium, Jaipur",0,8
A Nortje,"Arun Jaitley Stadium, Delhi",6,9.62
A Nortje,"Barsapara Cricket Stadium, Guwahati",0,11
A Nortje,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",3,12.62
A Nortje,"Himachal Pradesh Cricket Association Stadium, Dharamsala",3,9.25
A Nortje,"M Chinnaswamy Stadium, Bengaluru",0,7.5
A Nortje,"Narendra Modi Stadium, Ahmedabad",1,9.25
A Nortje,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,8.25
A Nortje,"Sawai Mansingh Stadium, Jaipur",1,12.5
A Nortje,"Wankhede Stadium, Mumbai",2,13.75
A Zampa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,6.5
A Zampa,"MA Chidambaram Stadium, Chepauk, Chennai",1,10.25
A Zampa,"Narendra Modi Stadium, Ahmedabad",2,8
A Zampa,"Sawai Mansingh Stadium, Jaipur",5,8.8
AD Russell,"Arun Jaitley Stadium, Delhi",0,10
AD Russell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,7.5
AD Russell,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,10.5
AD Russell,"Eden Gardens, Kolkata",12,11.91
AD Russell,"M Chinnaswamy Stadium, Bengaluru",4,7.25
AD Russell,"MA Chidambaram Stadium, Chepauk, Chennai",3,7.14
AD Russell,"Narendra Modi Stadium, Ahmedabad",1,10
AD Russell,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10
AD Russell,"Wankhede Stadium, Mumbai",2,9.8
AJ Hosein,"Arun Jaitley Stadium, Delhi",1,10.25
AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,7
